TXN-66388531,Divine Group,663045.50,2025-08-28T11:00:41.720087700,PENDING
TXN-edebd648,Perfect Pharma,1398542.63,2025-08-28T11:00:41.729096500,PENDING
TXN-26c34831,ALPHA CORP,296309.23,2025-08-28T11:00:41.729096500,PENDING
TXN-15a25d4c,Victor Ltd.,334994.94,2025-08-28T11:00:41.729096500,PENDING
TXN-ff99ed81,Victor Ltd.,10062.00,2025-08-28T11:00:41.730089400,PENDING
TXN-955dbfe2,ALPHA CORP,514975.52,2025-08-28T11:00:41.730089400,PENDING
TXN-4368c988,Divine Group,1327822.59,2025-08-28T11:00:41.730089400,PENDING
TXN-80fa28a9,Divine Group,348903.24,2025-08-28T11:00:41.730089400,PENDING
TXN-3de7b2ba,Divine Group,339363.24,2025-08-28T11:00:41.730089400,PENDING
TXN-28a40559,Victor Ltd.,817709.01,2025-08-28T11:00:41.731095700,PENDING
TXN-9609d97a,Perfect Pharma,47303.34,2025-08-28T11:00:41.731095700,PENDING
TXN-3920bde9,ALPHA CORP,1209893.16,2025-08-28T11:00:41.731095700,PENDING
TXN-3e5dbced,Perfect Pharma,279006.44,2025-08-28T11:00:41.731095700,PENDING
TXN-86116973,Perfect Pharma,246866.90,2025-08-28T11:00:41.731095700,PENDING
TXN-6d3f281c,ALPHA CORP,127796.98,2025-08-28T11:00:41.731095700,PENDING
TXN-31bec21f,ALPHA CORP,33688.99,2025-08-28T11:00:41.731095700,PENDING
TXN-82219ceb,Divine Group,682305.06,2025-08-28T11:00:41.732097900,PENDING
TXN-3ffaf740,ALPHA CORP,562902.48,2025-08-28T11:00:41.732097900,PENDING
TXN-9d834e83,Perfect Pharma,310480.07,2025-08-28T11:00:41.732097900,PENDING
TXN-75cf516b,Perfect Pharma,1098249.01,2025-08-28T11:00:41.732097900,PENDING
TXN-9183684e,Perfect Pharma,1092536.99,2025-08-28T11:00:41.732097900,PENDING
TXN-d4355e4e,Victor Ltd.,1065957.71,2025-08-28T11:00:41.732097900,PENDING
TXN-629ef857,Divine Group,367856.72,2025-08-28T11:00:41.732097900,PENDING
TXN-8942e6b8,ALPHA CORP,305139.35,2025-08-28T11:00:41.732097900,PENDING
TXN-51deee0d,Divine Group,1355111.51,2025-08-28T11:00:41.732097900,PENDING
TXN-08b9d53b,Victor Ltd.,521425.24,2025-08-28T11:00:41.732097900,PENDING
TXN-3ba72d70,Divine Group,665542.81,2025-08-28T11:00:41.732097900,PENDING
TXN-ee33dcff,ALPHA CORP,104076.53,2025-08-28T11:00:41.733096900,PENDING
TXN-292f8ce9,Perfect Pharma,855606.53,2025-08-28T11:00:41.733096900,PENDING
TXN-d33b90cb,Victor Ltd.,194322.13,2025-08-28T11:00:41.733096900,PENDING
TXN-a85df335,ALPHA CORP,1062850.78,2025-08-28T11:00:41.733096900,PENDING
TXN-7807ea64,Perfect Pharma,992496.05,2025-08-28T11:00:41.733096900,PENDING
TXN-6f4498ad,Perfect Pharma,548321.56,2025-08-28T11:00:41.733096900,PENDING
TXN-80397241,Perfect Pharma,799006.95,2025-08-28T11:00:41.734094700,PENDING
TXN-6e1ac23b,ALPHA CORP,1146772.37,2025-08-28T11:00:41.734094700,PENDING
TXN-2a572687,Divine Group,1205779.42,2025-08-28T11:00:41.734094700,PENDING
TXN-b051f218,Perfect Pharma,374971.15,2025-08-28T11:00:41.734094700,PENDING
TXN-6d23299a,ALPHA CORP,78562.01,2025-08-28T11:00:41.734094700,PENDING
TXN-9ac0a834,Perfect Pharma,460830.90,2025-08-28T11:00:41.734094700,PENDING
TXN-e53901c5,Victor Ltd.,750629.31,2025-08-28T11:00:41.734094700,PENDING
TXN-cd25ac2d,Divine Group,485678.30,2025-08-28T11:00:41.734094700,PENDING
TXN-07bdcd4b,Victor Ltd.,469728.76,2025-08-28T11:00:41.735094300,PENDING
TXN-c58c034e,Divine Group,1315588.28,2025-08-28T11:00:41.735094300,PENDING
TXN-6092d02b,ALPHA CORP,1210143.71,2025-08-28T11:00:41.735094300,PENDING
TXN-da2ae495,ALPHA CORP,1300403.43,2025-08-28T11:00:41.735094300,PENDING
TXN-4c24497a,ALPHA CORP,492431.44,2025-08-28T11:00:41.735094300,PENDING
TXN-040810bf,Victor Ltd.,118027.49,2025-08-28T11:00:41.735094300,PENDING
TXN-963d0d37,Victor Ltd.,930385.90,2025-08-28T11:00:41.735094300,PENDING
TXN-242ddc4e,Victor Ltd.,138433.74,2025-08-28T11:00:41.735094300,PENDING
TXN-cc818d44,Divine Group,890625.11,2025-08-28T11:00:41.736093200,PENDING
TXN-25d2bd8a,ALPHA CORP,1069591.97,2025-08-28T11:00:41.736093200,PENDING
TXN-0e5911cc,ALPHA CORP,1035511.76,2025-08-28T11:00:41.736093200,PENDING
TXN-059862eb,Divine Group,1325293.83,2025-08-28T11:00:41.736093200,PENDING
